R_PPI AIMed_d30 0 *EMPTY*-*EMPTY* token:Isolation|NN|O|-3|-9|root|0 token:of|IN|O|-2|-8|case|3 token:human|JJ|O|-1|-7|amod|3 token:delta-catenin|NN|P1|0|-6|nmod:of|0 token:and|CC|O|1|-5|cc|0 token:its|PRP$|O|2|-4|nmod:poss|7 token:binding|NN|O|3|-3|compound|7 token:specificity|NN|O|4|-2|conj:and|0 token:with|IN|O|5|-1|case|9 token:presenilin|NN|P2|6|0|nmod:with|7 token:1|CD|P2|7|0|nummod|9 token:.|.|O|8|1|| dep_token:delta-catenin|NN|P1|nmod:of|0 dep_token:Isolation|NN|O|root|0 dep_token:specificity|NN|O|conj:and|0 dep_token:presenilin|NN|P2|nmod:with|7 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:isol->conj:and->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->conj:and->w:specif->nmod:with->|GENE_2	Isolation of human <1>delta-catenin</1> and its binding specificity with <1>presenilin 1</1>.
NONE AIMed_d42 5 *EMPTY*-*EMPTY* token:Using|VBG|O|-23|-25|root|0 token:several|JJ|O|-22|-24|amod|3 token:complementary|JJ|O|-21|-23|amod|3 token:approaches|NNS|O|-20|-22|dobj|0 token:,|,|O|-19|-21|| token:we|PRP|O|-18|-20|nsubj|6 token:investigated|VBD|O|-17|-19|parataxis|0 token:the|DT|O|-16|-18|det|8 token:formation|NN|O|-15|-17|dobj|6 token:of|IN|O|-14|-16|case|13 token:homomeric|JJ|O|-13|-15|amod|13 token:and|CC|O|-12|-14|cc|10 token:heteromeric|JJ|O|-11|-13|amod@conj:and|10@13 token:complexes|NNS|O|-10|-12|nmod:of|8 token:between|IN|O|-9|-11|case|21 token:the|DT|O|-8|-10|det|21 token:two|CD|O|-7|-9|nummod|21 token:known|JJ|O|-6|-8|amod|21 token:BMP|NN|O|-5|-7|compound|21 token:type|NN|O|-4|-6|compound|21 token:I|NN|O|-3|-5|compound|21 token:receptors|NNS|O|-2|-4|nmod:between|8 token:(|-LRB-|O|-1|-3|| token:BR-Ia|NN|P1|0|-2|dep|21 token:and|CC|O|1|-1|cc|23 token:BR-Ib|NN|P2|2|0|conj:and@dep|21@23 token:)|-RRB-|O|3|1|| token:and|CC|O|4|2|cc|21 token:the|DT|O|5|3|det|32 token:BMP|NN|P|6|4|compound|32 token:type|NN|P|7|5|compound|32 token:II|CD|P|8|6|nummod|32 token:receptor|NN|P|9|7|conj:and@nmod:between|21@8 token:(|-LRB-|O|10|8|| token:BR-II|NN|P|11|9|appos|32 token:)|-RRB-|O|12|10|| token:.|.|O|13|11|| dep_token:BR-Ia|NN|P1|dep|21 dep_token:BR-Ib|NN|P2|conj:and@dep|21@23 dep_path_len:1	Using several complementary approaches, we investigated the formation of homomeric and heteromeric complexes between the two known BMP type I receptors (<1>BR-Ia</1> and <1>BR-Ib</1>) and the <0>BMP type II receptor</0> (<0>BR-II</0>).
NONE AIMed_d42 5 *EMPTY*-*EMPTY* token:Using|VBG|O|-23|-29|root|0 token:several|JJ|O|-22|-28|amod|3 token:complementary|JJ|O|-21|-27|amod|3 token:approaches|NNS|O|-20|-26|dobj|0 token:,|,|O|-19|-25|| token:we|PRP|O|-18|-24|nsubj|6 token:investigated|VBD|O|-17|-23|parataxis|0 token:the|DT|O|-16|-22|det|8 token:formation|NN|O|-15|-21|dobj|6 token:of|IN|O|-14|-20|case|13 token:homomeric|JJ|O|-13|-19|amod|13 token:and|CC|O|-12|-18|cc|10 token:heteromeric|JJ|O|-11|-17|amod@conj:and|10@13 token:complexes|NNS|O|-10|-16|nmod:of|8 token:between|IN|O|-9|-15|case|21 token:the|DT|O|-8|-14|det|21 token:two|CD|O|-7|-13|nummod|21 token:known|JJ|O|-6|-12|amod|21 token:BMP|NN|O|-5|-11|compound|21 token:type|NN|O|-4|-10|compound|21 token:I|NN|O|-3|-9|compound|21 token:receptors|NNS|O|-2|-8|nmod:between|8 token:(|-LRB-|O|-1|-7|| token:BR-Ia|NN|P1|0|-6|dep|21 token:and|CC|O|1|-5|cc|23 token:BR-Ib|NN|P|2|-4|conj:and@dep|21@23 token:)|-RRB-|O|3|-3|| token:and|CC|O|4|-2|cc|21 token:the|DT|O|5|-1|det|32 token:BMP|NN|P2|6|0|compound|32 token:type|NN|P2|7|0|compound|32 token:II|CD|P2|8|0|nummod|32 token:receptor|NN|P2|9|0|conj:and@nmod:between|21@8 token:(|-LRB-|O|10|1|| token:BR-II|NN|P|11|2|appos|32 token:)|-RRB-|O|12|3|| token:.|.|O|13|4|| dep_token:BR-Ia|NN|P1|dep|21 dep_token:receptors|NNS|O|nmod:between|8 dep_token:receptor|NN|P2|conj:and@nmod:between|21@8 dep_path_len:2 lex_dep_path:GENE_1|<-dep<-w:receptor->conj:and->|GENE_2	Using several complementary approaches, we investigated the formation of homomeric and heteromeric complexes between the two known BMP type I receptors (<1>BR-Ia</1> and <0>BR-Ib</0>) and the <1>BMP type II receptor</1> (<0>BR-II</0>).
NONE AIMed_d42 5 *EMPTY*-*EMPTY* token:Using|VBG|O|-23|-34|root|0 token:several|JJ|O|-22|-33|amod|3 token:complementary|JJ|O|-21|-32|amod|3 token:approaches|NNS|O|-20|-31|dobj|0 token:,|,|O|-19|-30|| token:we|PRP|O|-18|-29|nsubj|6 token:investigated|VBD|O|-17|-28|parataxis|0 token:the|DT|O|-16|-27|det|8 token:formation|NN|O|-15|-26|dobj|6 token:of|IN|O|-14|-25|case|13 token:homomeric|JJ|O|-13|-24|amod|13 token:and|CC|O|-12|-23|cc|10 token:heteromeric|JJ|O|-11|-22|amod@conj:and|10@13 token:complexes|NNS|O|-10|-21|nmod:of|8 token:between|IN|O|-9|-20|case|21 token:the|DT|O|-8|-19|det|21 token:two|CD|O|-7|-18|nummod|21 token:known|JJ|O|-6|-17|amod|21 token:BMP|NN|O|-5|-16|compound|21 token:type|NN|O|-4|-15|compound|21 token:I|NN|O|-3|-14|compound|21 token:receptors|NNS|O|-2|-13|nmod:between|8 token:(|-LRB-|O|-1|-12|| token:BR-Ia|NN|P1|0|-11|dep|21 token:and|CC|O|1|-10|cc|23 token:BR-Ib|NN|P|2|-9|conj:and@dep|21@23 token:)|-RRB-|O|3|-8|| token:and|CC|O|4|-7|cc|21 token:the|DT|O|5|-6|det|32 token:BMP|NN|P|6|-5|compound|32 token:type|NN|P|7|-4|compound|32 token:II|CD|P|8|-3|nummod|32 token:receptor|NN|P|9|-2|conj:and@nmod:between|21@8 token:(|-LRB-|O|10|-1|| token:BR-II|NN|P2|11|0|appos|32 token:)|-RRB-|O|12|1|| token:.|.|O|13|2|| dep_token:BR-Ia|NN|P1|dep|21 dep_token:receptors|NNS|O|nmod:between|8 dep_token:receptor|NN|P|conj:and@nmod:between|21@8 dep_token:BR-II|NN|P2|appos|32 dep_path_len:3 lex_dep_path:GENE_1|<-dep<-w:receptor->conj:and->appos->|GENE_2 lex_dep_path:GENE_1|<-dep<-__->conj:and->w:receptor->appos->|GENE_2	Using several complementary approaches, we investigated the formation of homomeric and heteromeric complexes between the two known BMP type I receptors (<1>BR-Ia</1> and <0>BR-Ib</0>) and the <0>BMP type II receptor</0> (<1>BR-II</1>).
NONE AIMed_d42 5 *EMPTY*-*EMPTY* token:Using|VBG|O|-25|-29|root|0 token:several|JJ|O|-24|-28|amod|3 token:complementary|JJ|O|-23|-27|amod|3 token:approaches|NNS|O|-22|-26|dobj|0 token:,|,|O|-21|-25|| token:we|PRP|O|-20|-24|nsubj|6 token:investigated|VBD|O|-19|-23|parataxis|0 token:the|DT|O|-18|-22|det|8 token:formation|NN|O|-17|-21|dobj|6 token:of|IN|O|-16|-20|case|13 token:homomeric|JJ|O|-15|-19|amod|13 token:and|CC|O|-14|-18|cc|10 token:heteromeric|JJ|O|-13|-17|amod@conj:and|10@13 token:complexes|NNS|O|-12|-16|nmod:of|8 token:between|IN|O|-11|-15|case|21 token:the|DT|O|-10|-14|det|21 token:two|CD|O|-9|-13|nummod|21 token:known|JJ|O|-8|-12|amod|21 token:BMP|NN|O|-7|-11|compound|21 token:type|NN|O|-6|-10|compound|21 token:I|NN|O|-5|-9|compound|21 token:receptors|NNS|O|-4|-8|nmod:between|8 token:(|-LRB-|O|-3|-7|| token:BR-Ia|NN|P|-2|-6|dep|21 token:and|CC|O|-1|-5|cc|23 token:BR-Ib|NN|P1|0|-4|conj:and@dep|21@23 token:)|-RRB-|O|1|-3|| token:and|CC|O|2|-2|cc|21 token:the|DT|O|3|-1|det|32 token:BMP|NN|P2|4|0|compound|32 token:type|NN|P2|5|0|compound|32 token:II|CD|P2|6|0|nummod|32 token:receptor|NN|P2|7|0|conj:and@nmod:between|21@8 token:(|-LRB-|O|8|1|| token:BR-II|NN|P|9|2|appos|32 token:)|-RRB-|O|10|3|| token:.|.|O|11|4|| dep_token:BR-Ib|NN|P1|conj:and@dep|21@23 dep_token:receptors|NNS|O|nmod:between|8 dep_token:receptor|NN|P2|conj:and@nmod:between|21@8 dep_path_len:2 lex_dep_path:GENE_1|<-dep<-w:receptor->conj:and->|GENE_2	Using several complementary approaches, we investigated the formation of homomeric and heteromeric complexes between the two known BMP type I receptors (<0>BR-Ia</0> and <1>BR-Ib</1>) and the <1>BMP type II receptor</1> (<0>BR-II</0>).
NONE AIMed_d42 5 *EMPTY*-*EMPTY* token:Using|VBG|O|-25|-34|root|0 token:several|JJ|O|-24|-33|amod|3 token:complementary|JJ|O|-23|-32|amod|3 token:approaches|NNS|O|-22|-31|dobj|0 token:,|,|O|-21|-30|| token:we|PRP|O|-20|-29|nsubj|6 token:investigated|VBD|O|-19|-28|parataxis|0 token:the|DT|O|-18|-27|det|8 token:formation|NN|O|-17|-26|dobj|6 token:of|IN|O|-16|-25|case|13 token:homomeric|JJ|O|-15|-24|amod|13 token:and|CC|O|-14|-23|cc|10 token:heteromeric|JJ|O|-13|-22|amod@conj:and|10@13 token:complexes|NNS|O|-12|-21|nmod:of|8 token:between|IN|O|-11|-20|case|21 token:the|DT|O|-10|-19|det|21 token:two|CD|O|-9|-18|nummod|21 token:known|JJ|O|-8|-17|amod|21 token:BMP|NN|O|-7|-16|compound|21 token:type|NN|O|-6|-15|compound|21 token:I|NN|O|-5|-14|compound|21 token:receptors|NNS|O|-4|-13|nmod:between|8 token:(|-LRB-|O|-3|-12|| token:BR-Ia|NN|P|-2|-11|dep|21 token:and|CC|O|-1|-10|cc|23 token:BR-Ib|NN|P1|0|-9|conj:and@dep|21@23 token:)|-RRB-|O|1|-8|| token:and|CC|O|2|-7|cc|21 token:the|DT|O|3|-6|det|32 token:BMP|NN|P|4|-5|compound|32 token:type|NN|P|5|-4|compound|32 token:II|CD|P|6|-3|nummod|32 token:receptor|NN|P|7|-2|conj:and@nmod:between|21@8 token:(|-LRB-|O|8|-1|| token:BR-II|NN|P2|9|0|appos|32 token:)|-RRB-|O|10|1|| token:.|.|O|11|2|| dep_token:BR-Ib|NN|P1|conj:and@dep|21@23 dep_token:receptors|NNS|O|nmod:between|8 dep_token:receptor|NN|P|conj:and@nmod:between|21@8 dep_token:BR-II|NN|P2|appos|32 dep_path_len:3 lex_dep_path:GENE_1|<-dep<-w:receptor->conj:and->appos->|GENE_2 lex_dep_path:GENE_1|<-dep<-__->conj:and->w:receptor->appos->|GENE_2	Using several complementary approaches, we investigated the formation of homomeric and heteromeric complexes between the two known BMP type I receptors (<0>BR-Ia</0> and <1>BR-Ib</1>) and the <0>BMP type II receptor</0> (<1>BR-II</1>).
NONE AIMed_d42 5 *EMPTY*-*EMPTY* token:Using|VBG|O|-29|-34|root|0 token:several|JJ|O|-28|-33|amod|3 token:complementary|JJ|O|-27|-32|amod|3 token:approaches|NNS|O|-26|-31|dobj|0 token:,|,|O|-25|-30|| token:we|PRP|O|-24|-29|nsubj|6 token:investigated|VBD|O|-23|-28|parataxis|0 token:the|DT|O|-22|-27|det|8 token:formation|NN|O|-21|-26|dobj|6 token:of|IN|O|-20|-25|case|13 token:homomeric|JJ|O|-19|-24|amod|13 token:and|CC|O|-18|-23|cc|10 token:heteromeric|JJ|O|-17|-22|amod@conj:and|10@13 token:complexes|NNS|O|-16|-21|nmod:of|8 token:between|IN|O|-15|-20|case|21 token:the|DT|O|-14|-19|det|21 token:two|CD|O|-13|-18|nummod|21 token:known|JJ|O|-12|-17|amod|21 token:BMP|NN|O|-11|-16|compound|21 token:type|NN|O|-10|-15|compound|21 token:I|NN|O|-9|-14|compound|21 token:receptors|NNS|O|-8|-13|nmod:between|8 token:(|-LRB-|O|-7|-12|| token:BR-Ia|NN|P|-6|-11|dep|21 token:and|CC|O|-5|-10|cc|23 token:BR-Ib|NN|P|-4|-9|conj:and@dep|21@23 token:)|-RRB-|O|-3|-8|| token:and|CC|O|-2|-7|cc|21 token:the|DT|O|-1|-6|det|32 token:BMP|NN|P1|0|-5|compound|32 token:type|NN|P1|0|-4|compound|32 token:II|CD|P1|0|-3|nummod|32 token:receptor|NN|P1|0|-2|conj:and@nmod:between|21@8 token:(|-LRB-|O|1|-1|| token:BR-II|NN|P2|2|0|appos|32 token:)|-RRB-|O|3|1|| token:.|.|O|4|2|| dep_token:receptor|NN|P1|conj:and@nmod:between|21@8 dep_token:BR-II|NN|P2|appos|32 dep_path_len:1	Using several complementary approaches, we investigated the formation of homomeric and heteromeric complexes between the two known BMP type I receptors (<0>BR-Ia</0> and <0>BR-Ib</0>) and the <1>BMP type II receptor</1> (<1>BR-II</1>).
R_PPI AIMed_d42 8 *EMPTY*-*EMPTY* token:Using|VBG|O|-18|-18|advcl|9 token:antibody-mediated|JJ|O|-17|-17|amod|3 token:immunofluorescence|NN|O|-16|-16|compound|3 token:copatching|NN|O|-15|-15|dobj|0 token:of|IN|O|-14|-14|case|6 token:epitope-tagged|JJ|O|-13|-13|amod|6 token:receptors|NNS|O|-12|-12|nmod:of|3 token:,|,|O|-11|-11|| token:we|PRP|O|-10|-10|nsubj|9 token:provide|VBP|O|-9|-9|root|9 token:evidence|NN|O|-8|-8|dobj|9 token:in|IN|O|-7|-7|case|13 token:live|JJ|O|-6|-6|amod|13 token:cells|NNS|O|-5|-5|nmod:in|10 token:for|IN|O|-4|-4|mark|15 token:preexisting|VBG|O|-3|-3|acl|10 token:heteromeric|JJ|O|-2|-2|amod|38 token:(|-LRB-|O|-1|-1|| token:BR-II/BR-Ia|NN|P1|0|0|dep|16 token:and|CC|O|1|1|cc|18 token:BR-II/BR-Ib|NN|P|2|2|conj:and@dep|16@18 token:)|-RRB-|O|3|3|| token:and|CC|O|4|4|cc|16 token:homomeric|JJ|O|5|5|amod@conj:and|16@38 token:(|-LRB-|O|6|6|| token:BR-II/BR-II|NN|P|7|7|dep|16 token:,|,|O|8|8|| token:BR-Ia/|NN|P|9|9|compound|28 token:BR-Ia|NN|P|10|10|conj:and@dep|16@25 token:,|,|O|11|11|| token:BR-Ib/|NN|P|12|12|compound|31 token:BR-Ib|NN|P|13|13|conj:and@dep|16@25 token:,|,|O|14|14|| token:and|CC|O|15|15|cc|25 token:also|RB|O|16|16|advmod|36 token:BR-Ia/|NN|P|17|17|compound|36 token:BR-Ib|NN|P|18|18|conj:and@dep|16@25 token:)|-RRB-|O|19|19|| token:oligomers|NNS|O|20|20|dobj|15 token:in|IN|O|21|21|case|41 token:the|DT|O|22|22|det|41 token:absence|NN|O|23|23|nmod:in|15 token:of|IN|O|24|24|case|43 token:ligand|NN|O|25|25|nmod:of|41 token:.|.|O|26|26|| dep_path_len:0	Using antibody-mediated immunofluorescence copatching of epitope-tagged receptors, we provide evidence in live cells for preexisting heteromeric (<1>BR-II</1>/<1>BR-Ia</1> and <0>BR-II</0>/<0>BR-Ib</0>) and homomeric (<0>BR-II</0>/<0>BR-II</0>, <0>BR-Ia</0>/ <0>BR-Ia</0>, <0>BR-Ib</0>/ <0>BR-Ib</0>, and also <0>BR-Ia</0>/ <0>BR-Ib</0>) oligomers in the absence of ligand.
NONE AIMed_d42 8 *EMPTY*-*EMPTY* token:Using|VBG|O|-18|-20|advcl|9 token:antibody-mediated|JJ|O|-17|-19|amod|3 token:immunofluorescence|NN|O|-16|-18|compound|3 token:copatching|NN|O|-15|-17|dobj|0 token:of|IN|O|-14|-16|case|6 token:epitope-tagged|JJ|O|-13|-15|amod|6 token:receptors|NNS|O|-12|-14|nmod:of|3 token:,|,|O|-11|-13|| token:we|PRP|O|-10|-12|nsubj|9 token:provide|VBP|O|-9|-11|root|9 token:evidence|NN|O|-8|-10|dobj|9 token:in|IN|O|-7|-9|case|13 token:live|JJ|O|-6|-8|amod|13 token:cells|NNS|O|-5|-7|nmod:in|10 token:for|IN|O|-4|-6|mark|15 token:preexisting|VBG|O|-3|-5|acl|10 token:heteromeric|JJ|O|-2|-4|amod|38 token:(|-LRB-|O|-1|-3|| token:BR-II/BR-Ia|NN|P1|0|-2|dep|16 token:and|CC|O|1|-1|cc|18 token:BR-II/BR-Ib|NN|P2|2|0|conj:and@dep|16@18 token:)|-RRB-|O|3|1|| token:and|CC|O|4|2|cc|16 token:homomeric|JJ|O|5|3|amod@conj:and|16@38 token:(|-LRB-|O|6|4|| token:BR-II/BR-II|NN|P|7|5|dep|16 token:,|,|O|8|6|| token:BR-Ia/|NN|P|9|7|compound|28 token:BR-Ia|NN|P|10|8|conj:and@dep|16@25 token:,|,|O|11|9|| token:BR-Ib/|NN|P|12|10|compound|31 token:BR-Ib|NN|P|13|11|conj:and@dep|16@25 token:,|,|O|14|12|| token:and|CC|O|15|13|cc|25 token:also|RB|O|16|14|advmod|36 token:BR-Ia/|NN|P|17|15|compound|36 token:BR-Ib|NN|P|18|16|conj:and@dep|16@25 token:)|-RRB-|O|19|17|| token:oligomers|NNS|O|20|18|dobj|15 token:in|IN|O|21|19|case|41 token:the|DT|O|22|20|det|41 token:absence|NN|O|23|21|nmod:in|15 token:of|IN|O|24|22|case|43 token:ligand|NN|O|25|23|nmod:of|41 token:.|.|O|26|24|| dep_token:BR-II/BR-Ia|NN|P1|dep|16 dep_token:BR-II/BR-Ib|NN|P2|conj:and@dep|16@18 dep_path_len:1	Using antibody-mediated immunofluorescence copatching of epitope-tagged receptors, we provide evidence in live cells for preexisting heteromeric (<1>BR-II</1>/<0>BR-Ia</0> and <1>BR-II</1>/<0>BR-Ib</0>) and homomeric (<0>BR-II</0>/<0>BR-II</0>, <0>BR-Ia</0>/ <0>BR-Ia</0>, <0>BR-Ib</0>/ <0>BR-Ib</0>, and also <0>BR-Ia</0>/ <0>BR-Ib</0>) oligomers in the absence of ligand.
NONE AIMed_d42 8 *EMPTY*-*EMPTY* token:Using|VBG|O|-18|-20|advcl|9 token:antibody-mediated|JJ|O|-17|-19|amod|3 token:immunofluorescence|NN|O|-16|-18|compound|3 token:copatching|NN|O|-15|-17|dobj|0 token:of|IN|O|-14|-16|case|6 token:epitope-tagged|JJ|O|-13|-15|amod|6 token:receptors|NNS|O|-12|-14|nmod:of|3 token:,|,|O|-11|-13|| token:we|PRP|O|-10|-12|nsubj|9 token:provide|VBP|O|-9|-11|root|9 token:evidence|NN|O|-8|-10|dobj|9 token:in|IN|O|-7|-9|case|13 token:live|JJ|O|-6|-8|amod|13 token:cells|NNS|O|-5|-7|nmod:in|10 token:for|IN|O|-4|-6|mark|15 token:preexisting|VBG|O|-3|-5|acl|10 token:heteromeric|JJ|O|-2|-4|amod|38 token:(|-LRB-|O|-1|-3|| token:BR-II/BR-Ia|NN|P1|0|-2|dep|16 token:and|CC|O|1|-1|cc|18 token:BR-II/BR-Ib|NN|P2|2|0|conj:and@dep|16@18 token:)|-RRB-|O|3|1|| token:and|CC|O|4|2|cc|16 token:homomeric|JJ|O|5|3|amod@conj:and|16@38 token:(|-LRB-|O|6|4|| token:BR-II/BR-II|NN|P|7|5|dep|16 token:,|,|O|8|6|| token:BR-Ia/|NN|P|9|7|compound|28 token:BR-Ia|NN|P|10|8|conj:and@dep|16@25 token:,|,|O|11|9|| token:BR-Ib/|NN|P|12|10|compound|31 token:BR-Ib|NN|P|13|11|conj:and@dep|16@25 token:,|,|O|14|12|| token:and|CC|O|15|13|cc|25 token:also|RB|O|16|14|advmod|36 token:BR-Ia/|NN|P|17|15|compound|36 token:BR-Ib|NN|P|18|16|conj:and@dep|16@25 token:)|-RRB-|O|19|17|| token:oligomers|NNS|O|20|18|dobj|15 token:in|IN|O|21|19|case|41 token:the|DT|O|22|20|det|41 token:absence|NN|O|23|21|nmod:in|15 token:of|IN|O|24|22|case|43 token:ligand|NN|O|25|23|nmod:of|41 token:.|.|O|26|24|| dep_token:BR-II/BR-Ia|NN|P1|dep|16 dep_token:BR-II/BR-Ib|NN|P2|conj:and@dep|16@18 dep_path_len:1	Using antibody-mediated immunofluorescence copatching of epitope-tagged receptors, we provide evidence in live cells for preexisting heteromeric (<1>BR-II</1>/<0>BR-Ia</0> and <0>BR-II</0>/<1>BR-Ib</1>) and homomeric (<0>BR-II</0>/<0>BR-II</0>, <0>BR-Ia</0>/ <0>BR-Ia</0>, <0>BR-Ib</0>/ <0>BR-Ib</0>, and also <0>BR-Ia</0>/ <0>BR-Ib</0>) oligomers in the absence of ligand.
NONE AIMed_d42 8 *EMPTY*-*EMPTY* token:Using|VBG|O|-18|-25|advcl|9 token:antibody-mediated|JJ|O|-17|-24|amod|3 token:immunofluorescence|NN|O|-16|-23|compound|3 token:copatching|NN|O|-15|-22|dobj|0 token:of|IN|O|-14|-21|case|6 token:epitope-tagged|JJ|O|-13|-20|amod|6 token:receptors|NNS|O|-12|-19|nmod:of|3 token:,|,|O|-11|-18|| token:we|PRP|O|-10|-17|nsubj|9 token:provide|VBP|O|-9|-16|root|9 token:evidence|NN|O|-8|-15|dobj|9 token:in|IN|O|-7|-14|case|13 token:live|JJ|O|-6|-13|amod|13 token:cells|NNS|O|-5|-12|nmod:in|10 token:for|IN|O|-4|-11|mark|15 token:preexisting|VBG|O|-3|-10|acl|10 token:heteromeric|JJ|O|-2|-9|amod|38 token:(|-LRB-|O|-1|-8|| token:BR-II/BR-Ia|NN|P1|0|-7|dep|16 token:and|CC|O|1|-6|cc|18 token:BR-II/BR-Ib|NN|P|2|-5|conj:and@dep|16@18 token:)|-RRB-|O|3|-4|| token:and|CC|O|4|-3|cc|16 token:homomeric|JJ|O|5|-2|amod@conj:and|16@38 token:(|-LRB-|O|6|-1|| token:BR-II/BR-II|NN|P2|7|0|dep|16 token:,|,|O|8|1|| token:BR-Ia/|NN|P|9|2|compound|28 token:BR-Ia|NN|P|10|3|conj:and@dep|16@25 token:,|,|O|11|4|| token:BR-Ib/|NN|P|12|5|compound|31 token:BR-Ib|NN|P|13|6|conj:and@dep|16@25 token:,|,|O|14|7|| token:and|CC|O|15|8|cc|25 token:also|RB|O|16|9|advmod|36 token:BR-Ia/|NN|P|17|10|compound|36 token:BR-Ib|NN|P|18|11|conj:and@dep|16@25 token:)|-RRB-|O|19|12|| token:oligomers|NNS|O|20|13|dobj|15 token:in|IN|O|21|14|case|41 token:the|DT|O|22|15|det|41 token:absence|NN|O|23|16|nmod:in|15 token:of|IN|O|24|17|case|43 token:ligand|NN|O|25|18|nmod:of|41 token:.|.|O|26|19|| dep_token:BR-II/BR-Ia|NN|P1|dep|16 dep_token:heteromeric|JJ|O|amod|38 dep_token:BR-II/BR-II|NN|P2|dep|16 dep_path_len:2 lex_dep_path:GENE_1|<-dep<-w:heteromer->dep->|GENE_2	Using antibody-mediated immunofluorescence copatching of epitope-tagged receptors, we provide evidence in live cells for preexisting heteromeric (<1>BR-II</1>/<0>BR-Ia</0> and <0>BR-II</0>/<0>BR-Ib</0>) and homomeric (<1>BR-II</1>/<0>BR-II</0>, <0>BR-Ia</0>/ <0>BR-Ia</0>, <0>BR-Ib</0>/ <0>BR-Ib</0>, and also <0>BR-Ia</0>/ <0>BR-Ib</0>) oligomers in the absence of ligand.
NONE AIMed_d42 8 *EMPTY*-*EMPTY* token:Using|VBG|O|-18|-25|advcl|9 token:antibody-mediated|JJ|O|-17|-24|amod|3 token:immunofluorescence|NN|O|-16|-23|compound|3 token:copatching|NN|O|-15|-22|dobj|0 token:of|IN|O|-14|-21|case|6 token:epitope-tagged|JJ|O|-13|-20|amod|6 token:receptors|NNS|O|-12|-19|nmod:of|3 token:,|,|O|-11|-18|| token:we|PRP|O|-10|-17|nsubj|9 token:provide|VBP|O|-9|-16|root|9 token:evidence|NN|O|-8|-15|dobj|9 token:in|IN|O|-7|-14|case|13 token:live|JJ|O|-6|-13|amod|13 token:cells|NNS|O|-5|-12|nmod:in|10 token:for|IN|O|-4|-11|mark|15 token:preexisting|VBG|O|-3|-10|acl|10 token:heteromeric|JJ|O|-2|-9|amod|38 token:(|-LRB-|O|-1|-8|| token:BR-II/BR-Ia|NN|P1|0|-7|dep|16 token:and|CC|O|1|-6|cc|18 token:BR-II/BR-Ib|NN|P|2|-5|conj:and@dep|16@18 token:)|-RRB-|O|3|-4|| token:and|CC|O|4|-3|cc|16 token:homomeric|JJ|O|5|-2|amod@conj:and|16@38 token:(|-LRB-|O|6|-1|| token:BR-II/BR-II|NN|P2|7|0|dep|16 token:,|,|O|8|1|| token:BR-Ia/|NN|P|9|2|compound|28 token:BR-Ia|NN|P|10|3|conj:and@dep|16@25 token:,|,|O|11|4|| token:BR-Ib/|NN|P|12|5|compound|31 token:BR-Ib|NN|P|13|6|conj:and@dep|16@25 token:,|,|O|14|7|| token:and|CC|O|15|8|cc|25 token:also|RB|O|16|9|advmod|36 token:BR-Ia/|NN|P|17|10|compound|36 token:BR-Ib|NN|P|18|11|conj:and@dep|16@25 token:)|-RRB-|O|19|12|| token:oligomers|NNS|O|20|13|dobj|15 token:in|IN|O|21|14|case|41 token:the|DT|O|22|15|det|41 token:absence|NN|O|23|16|nmod:in|15 token:of|IN|O|24|17|case|43 token:ligand|NN|O|25|18|nmod:of|41 token:.|.|O|26|19|| dep_token:BR-II/BR-Ia|NN|P1|dep|16 dep_token:heteromeric|JJ|O|amod|38 dep_token:BR-II/BR-II|NN|P2|dep|16 dep_path_len:2 lex_dep_path:GENE_1|<-dep<-w:heteromer->dep->|GENE_2	Using antibody-mediated immunofluorescence copatching of epitope-tagged receptors, we provide evidence in live cells for preexisting heteromeric (<1>BR-II</1>/<0>BR-Ia</0> and <0>BR-II</0>/<0>BR-Ib</0>) and homomeric (<0>BR-II</0>/<1>BR-II</1>, <0>BR-Ia</0>/ <0>BR-Ia</0>, <0>BR-Ib</0>/ <0>BR-Ib</0>, and also <0>BR-Ia</0>/ <0>BR-Ib</0>) oligomers in the absence of ligand.
